StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Q29,Q31,Q31,Q4,Q20,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q18,Q20,ID,FL_8_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Distribution Channel,User Language,"Online Consent


Please click the below and fill out today's date to acknowledge that you have read the above statement and that you agree to participate in this study. 

Please print or save a copy of this consent form if you would like to retain a copy for your records.",Enter today's date (MM/DD/YYYY),In which part of the world are you physically located in while taking this survey?,How likely would you be to support this program?,How likely is it that you would support a politician in favor of this program?,Do you agree or disagree that: - We are approaching the limit of the number of people the earth can support.,Do you agree or disagree that: - Humans have the right to modify the natural environment to suit their needs.,Do you agree or disagree that: - When humans interfere with nature it often produces disastrous consequences.,Do you agree or disagree that: - Human ingenuity will ensure that we do NOT make the earth unlivable.,Do you agree or disagree that: - Humans are severely abusing the environment.,Do you agree or disagree that: - The earth has plenty of natural resources if we just learn how to develop them.,Do you agree or disagree that: - Plants and animals have as much right as humans to exist.,"Do you agree or disagree that: - Please select ""Agree"" for this statement.",Do you agree or disagree that: - The balance of nature is strong enough to cope with the impacts of modern industrial nations.,Do you agree or disagree that: - Despite our special abilities humans are still subject to the laws of nature.,Do you agree or disagree that: - The so-called “ecological crisis” facing humankind has been greatly exaggerated.,Do you agree or disagree that: - The earth is like a spaceship with very limited room and resources.,Do you agree or disagree that: - Humans were meant to rule over the rest of nature.,Do you agree or disagree that: - The balance of nature is very delicate and easily upset.,Do you agree or disagree that: - Humans will eventually learn enough about how nature works to be able to control it.,"Do you agree or disagree that: - If things continue on their present course, we will soon experience a major ecological catastrophe.",Were you born in the United States?,What is your gender identity?,What racial group(s) do you identify as?,Which of the following best indicates how much money your family’s total income was this past year?,We hear a lot of talk these days about liberals and conservatives. Here is a seven-point scale on which the political views that people might hold are arranged from very liberal to very conservative. Where would you place yourself on this scale?,"I would now like to ask your opinion on government spending. Because government spending has increased dramatically in response to the coronavirus pandemic, I would like you to consider government spending during non-crisis times. Is the usual level of government spending too high, too low, or acceptable for the interests of creating a prosperous society?",How knowledgeable do you consider yourself to be with respect to environmental issues?,How often do you hear or read news about environmental issues?,How often do you discuss environmental issues with friends and family?,ID,FL_8 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID4""}","{""ImportId"":""QID21""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID8_11""}","{""ImportId"":""QID8_12""}","{""ImportId"":""QID8_13""}","{""ImportId"":""QID8_14""}","{""ImportId"":""QID8_15""}","{""ImportId"":""QID8_16""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""ID""}","{""ImportId"":""FL_8_DO""}"
3/4/2021 18:41,3/4/2021 18:44,IP Address,100,167,TRUE,3/4/2021 18:44,R_DiRFzfwfEdMKlnr,4795,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/3/2021,North America,Very Likely,Very Likely,Unsure,Strongly Disagree,Agree,Disagree,Strongly agree,Agree,Unsure,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly agree,Disagree,Strongly agree,Yes,Male,White,"$150,000 or above",Very Liberal,Slightly Too Liow,Extremely knowledgeable,A Few Times a Week,Once a Week,4795,Treatment1
3/4/2021 18:44,3/4/2021 18:48,IP Address,100,249,TRUE,3/4/2021 18:48,R_3EJU5xruAHYV5mT,6000,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Likely,Likely,Unsure,Disagree,Agree,Unsure,Agree,Unsure,Strongly agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Unsure,Strongly agree,Yes,Female,Asian,"$60,000 to $89,999",Liberal,Slightly Too High,Moderately knowledgeable,Once a Week,Once a Week,6000,Treatment1
3/4/2021 19:05,3/4/2021 19:08,IP Address,100,152,TRUE,3/4/2021 19:08,R_3oGuHJxeJPJHPSV,4593,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Very Likely,Strongly Disagree,Unsure,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Disagree,Disagree,Agree,Agree,Unsure,Strongly agree,Yes,Male,White,"$90,000 to $149,999",Very Liberal,Too High,Moderately knowledgeable,A Few Times a Week,A Few Times a Month,4593,Treatment2
3/4/2021 19:08,3/4/2021 19:10,IP Address,100,75,TRUE,3/4/2021 19:10,R_WB6Do0TO89GGwQF,6317,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Neither Unlikely Nor Likely,Neither Unlikely Nor Likely,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,Male,Black or African-American,"$40,000 to $59,999",Liberal,Far Too Low,Moderately knowledgeable,A Few Times a Month,A Few Times a Month,6317,Treatment2
3/4/2021 19:12,3/4/2021 19:16,IP Address,100,193,TRUE,3/4/2021 19:16,R_RwYLSB8f8Y1ZIiZ,6101,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Unlikely,Unlikely,Agree,Disagree,Agree,Unsure,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,Female,Latino or Hispanic,"$90,000 to $149,999",Lean LIberal,Slightly Too High,Slightly knowledgeable,Never or Rarely,Never or Rarely,6101,Treatment1
3/4/2021 19:30,3/4/2021 19:34,IP Address,100,241,TRUE,3/4/2021 19:34,R_31isGdQHFXNJmnf,5690,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Likely,Likely,Disagree,Disagree,Strongly agree,Unsure,Strongly agree,Unsure,Agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Agree,Strongly Disagree,Strongly agree,Disagree,Strongly agree,Yes,Prefer not to say,White,"$40,000 to $59,999",Liberal,Too Low,Moderately knowledgeable,Once a Week,Once a Month,5690,Treatment2
3/4/2021 19:47,3/4/2021 19:51,IP Address,100,224,TRUE,3/4/2021 19:51,R_1QimLOuHE7X2I0h,6371,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Very Likely,Very Likely,Unsure,Disagree,Agree,Disagree,Strongly agree,Unsure,Strongly agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Unsure,Disagree,Unsure,Disagree,Strongly agree,Yes,Female,White,"$90,000 to $149,999",Liberal,Slightly Too Liow,Moderately knowledgeable,A Few Times a Month,A Few Times a Month,6371,Treatment1
3/4/2021 19:54,3/4/2021 19:56,IP Address,100,137,TRUE,3/4/2021 19:56,R_3370pjC0SLfbEnQ,6255,anonymous,EN,"I have read and understand the above consent form. I certify that I am 18 years old or older. By clicking this button to enter the survey and filling out the date below, I indicate my willingness to voluntarily take part in this study",3/4/2021,North America,Likely,Likely,Unsure,Disagree,Agree,Unsure,Agree,Unsure,Unsure,Agree,Strongly Disagree,Unsure,Disagree,Agree,Disagree,Agree,Disagree,Unsure,Yes,Female,White,"$40,000 to $59,999",Lean LIberal,Just About Right,Slightly knowledgeable,Once a Week,Once a Month,6255,Treatment2
